Title,Name,Price,Discount_applied,Quantity,Rating,Number_rating
Tata Salt,"Lite - 15% Low Sodium Iodised Salt, Helps Blood Pressure & For Healthy Lifestyle",Rs.46.5,7% OFF,,4.2,22253 Ratings
bb Royal,Organic - Cardamom/Elaichi Green,Rs.249,Rs.3 OFF,50 g,4,18703 Ratings
Parachute,Coconut Oil - 100% Pure,Rs.373.5,Rs.42 OFF,1 L - Pet Jar,4.2,25626 Ratings
bb Popular,Fennel/Saunf - Big,Rs.32,60% OFF,100 g,4,11564 Ratings
Amul,Cow Ghee,Rs.335,,500 ml - Jar,4.3,774 Ratings
Catch,"Red Chilli/Lal Mirchi Powder - Exotic, Pure Spices, For Cooking",Rs.225,25% OFF,500 g - Pouch,4.1,2787 Ratings
Figaro,Olive Oil,Rs.3279.99,18% OFF,2 l - Tin,4.4,2341 Ratings
Engine,Kacchi Ghani Mustard Oil,Rs.168.37,Rs.1 OFF,1 L - Bottle,4.2,884 Ratings
bb Royal,Organic - Brown Sugar,Rs.78,34% OFF,1 kg,,
bb Popular,Anjeer - Figs,Rs.719,42% OFF,500 g,,
Gowardhan,Premium Ghee,Rs.671.04,Rs.28 OFF,1 L - Pouch,4.1,3904 Ratings
