Title,Name,Price,Discount_applied,Quantity,Rating,Number_rating
Horlicks,Lite Nutrition Drink - Regular Malt Flavour,Rs.304,13% OFF,,4.2,870 Ratings
Real,Fruit Power - Coconut Water,Rs.91.8,46% OFF,,3.9,1707 Ratings
Paper Boat,"Zero Sugar Jamun Drink - Natural , No Preservatives, Vitamins, Minerals Rich, Low Carbs",Rs.50.6,8% OFF,,4.1,625 Ratings
Tata Tea Gold Care,Tea Blend With Rich Taste Natural Ingredients Improves Immunity Memory,Rs.529.2,16% OFF,,4.1,1212 Ratings
BRU,Instant Pure Coffee,Rs.387.2,12% OFF,100 g - Jar,4.1,1195 Ratings
Dabur,Hommade Lemoneez - Goodness Of 33 Lemons,Rs.76,5% OFF,,4.2,3170 Ratings
Emperia,"Green Tea - With Plain, Tulsi, Lemon & Honey, Travel Pack",Rs.16,60% OFF,,4.1,586 Ratings
Kapiva,Get Slim Juice - Aids Metabolism & Digestion,Rs.549,,,4,133 Ratings
Real,Beetroot & Carrot Gut Health – No Added Sugars & Preservative,Rs.107.2,33% OFF,,4.1,1051 Ratings
Junior Horlicks,"Junior Horlicks Nutrition Drink - Vanilla Flavour, 2 To 6 Y",Rs.485,16% OFF,1 kg,4.1,925 Ratings
LEVISTA,Strong Coffee,Rs.102,40% OFF,50 g - Can,4.2,561 Ratings
Real,Fruit Power Juice - Mosambi,Rs.123.5,Rs.7 OFF,,4.2,691 Ratings
Paper Boat,Zero Sparkling Water - Green Apple,Rs.57.6,4% OFF,,4.2,483 Ratings
Real,Pomegranate Fruit Power Juice,Rs.18.67,7% OFF,180 ml,4.1,1465 Ratings
