Title,Name,Price,Discount_applied,Quantity,Rating,Number_rating
Dettol,Germ Protection Wet Wipes - For Skin & Surfaces,Rs.197.1,Rs.22 OFF,80 pcs,4.3,644 Ratings
Good knight,"Gold Flash Liquid Vaporiser, Mosquito Repellent Refill - Lavender Fragrance",Rs.285.2,Rs.25 OFF,,4.3,202 Ratings
All Out,"Ultra Liquid Vaporizer Mosquito Repellent Starter Pack - Kills Dengue, Malaria, & Chikungunya Mosquitoes",Rs.220,19% OFF,45 ml - (Machine + 3 Refills),4.2,1543 Ratings
Odonil,"Zipper Air Freshener - Joyful Lavender, Soulful Jasmine & Blissful Citrus",Rs.131.25,25% OFF,,4.1,1039 Ratings
Odonil,Bathroom Air Freshener Blocks Mixed Fragrances,Rs.263.5,15% OFF,72 g - (Pack of 4),4.2,4174 Ratings
Harpic,"Disinfectant Bathroom Cleaner Liquid, Floral",Rs.199.5,Rs.11 OFF,1 L,4.2,994 Ratings
Good knight,"Power Activ+ Liquid Vapourizer, Mosquito Repellent Refill",Rs.427.8,Rs.37 OFF,,4.2,2005 Ratings
Rin,Detergent Bar,Rs.10,,,4.1,10380 Ratings
Good knight,"Gold Flash Liquid Vapourizer, Mosquito Repellent Refill",Rs.150.35,Rs.5 OFF,45 ml each - Pack of 2,4.2,6794 Ratings
Surf Excel,Quick Wash Detergent Powder,Rs.115,,500 g,4.2,4684 Ratings
Vim,Dishwash Liquid Gel - Lemon,Rs.20,,,4.2,2052 Ratings
Harpic,"Hygienic Toilet Cleaner Rim Block, Lavender",Rs.81.9,10% OFF,,4.1,2050 Ratings
BB Home,Dishwash Liquid - Neem With Aloe Vera,Rs.69,45% OFF,,3.9,4784 Ratings
Scotch brite,"Scrub Pad, Scrubber for Utensil Cleaning",Rs.100,,10 pcs,4.2,7918 Ratings
Vanish,Oxi Action All In One Stain Remover Detergent Liquid,Rs.133,Rs.7 OFF,400 ml,4.3,6581 Ratings
BB Home,Kitchen tissue- towel-2-ply-100-virgin-pulppaper,Rs.129,22% OFF,,3.9,273 Ratings
Pril,Dishwash Liquid Gel - Lime,Rs.464.07,Rs.35 OFF,2 l - Bottle,4.3,7155 Ratings
Comfort,After Wash Anti Bacterial Fabric Conditioner,Rs.235,,860 ml,4.3,5568 Ratings
Mangaldeep,Sadhvi Agarbatti Sticks,Rs.35,,,4.2,8328 Ratings
Om Bhakti,"Pure Camphor - Small, For Puja Purpose, Leaves No Residue",Rs.50.15,15% OFF,,4,519 Ratings
Scotch brite,"Sponge Wipes for kitchen cleaning, Re-usable Absorbent and Surface Cleaner",Rs.70,7% OFF,1 pc,4.2,8556 Ratings
Origami,Toilet Tissue Paper Roll - 3 Ply,Rs.290,,,3.9,1122 Ratings
BB Home,"Facial Tissue Paper/Napkin - 2-Ply, 100% Virgin Fibre, Soft & Absorbent",Rs.309,38% OFF,200 pulls - (Pack of 3),4.1,2398 Ratings
Lizol,Disinfectant Surface & Floor Cleaner Liquid - Floral,Rs.854.1,Rs.95 OFF,5 L,4.1,1285 Ratings
