Title,Name,Price,Discount_applied,Quantity,Rating,Number_rating
Kurkure,Namkeen Puffcorn Yummy Cheese Flavour,Rs.20,,,4.1,7377 Ratings
Parle,Marie Biscuits,Rs.87.5,50% OFF,800 g,4.1,8969 Ratings
Britannia,"Tiger Glucose Biscuit - Ready To Eat, Crunchy Snack",Rs.5,,42.7 g - Pouch,4.1,3795 Ratings
Britannia,"Tiger Kreemz - Chocolate Cream Biscuits, Teatime Snack",Rs.5,,,4.1,3152 Ratings
Bingo!,Flat Cut Spicy Potato Chips - Original Style Chilli Sprinkled,Rs.18,10% OFF,45 g,4.1,6940 Ratings
McVitie's,Digestive Biscuits,Rs.125,50% OFF,959.1 g,4.1,1007 Ratings
Saffola,"Saffola  Oats - 100% Natural With High Protein & Fibre, Healthy Cereals",Rs.213.85,Rs.21 OFF,1 kg - (Get 300g Free),4.1,2995 Ratings
Britannia NutriChoice,"Digestive Zero Biscuits - No Maida & Zero Added Sugar, Made From Whole Wheat, Fibre Rich",Rs.31.5,10% OFF,,4.1,5794 Ratings
Tasties,Khatta Meetha,Rs.11,27% OFF,60 g - Namkeen,4.1,642 Ratings
Dabur,100% Pure Honey - Worlds No. 1 Honey Brand With No Sugar Adulteration,Rs.418,12% OFF,1 Kg,4.1,9211 Ratings
Britannia,"Vita Marie Gold Biscuit - Crunchy, Light, Zero Trans Fat, Ready To Eat",Rs.139.5,Rs.16 OFF,978 g,4.1,2007 Ratings
MAGGI,2-Minute Instant Noodles - Special Masala,Rs.216,Rs.24 OFF,840 g - Pouch,4.2,10767 Ratings
MAGGI,Hot & Sweet Tomato Chilli Sauce,Rs.125,,500 g - Bottle,4.2,15759 Ratings
Sunfeast,Bounce Creme Biscuits - Orange,Rs.10,,58 g - Pouch,4.2,8068 Ratings
Britannia,50-50 Maska Chaska Salted Biscuits,Rs.10,,40.5 g,4.1,5112 Ratings
Parle,Krackjack,Rs.96,20% OFF,700 g,4.1,8233 Ratings
Sunfeast,"Marie Light Active Biscuits - With Iron & 6 Vitamins, Tea Time Partner",Rs.110.25,27% OFF,1 kg - Pouch,4.2,3084 Ratings
Britannia NutriChoice,"Essentials Oats Cookies - No Added Sugar & Diabetic Friendly, Rich In Dietary Fibre",Rs.58.8,16% OFF,,4.2,2855 Ratings
Patanjali,Doodh Biscuit,Rs.10,,70 g,4.1,3213 Ratings
Sunfeast YiPPee!,Magic Masala Instant Noodles,Rs.12,,55 g - Pouch,4.2,15767 Ratings
Britannia,Milk Bikis Milk Biscuits,Rs.10,,66.8 g,4.2,2768 Ratings
MAGGI,Rich Tomato Ketchup,Rs.136,15% OFF,970 g - Bottle,4.2,7823 Ratings
Sunfeast,"Dark Fantasy Creme, Made With Real Chocolate",Rs.17.68,49% OFF,83 g - Pouch,4.2,3101 Ratings
Sundrop,"Peanut Butter - Crunchy, Rich In Protein, Spreads",Rs.245,Rs.5 OFF,924 g,4,149 Ratings
Tasties,Moong Dal,Rs.13,13% OFF,30 g - Namkeen,4.1,3879 Ratings
Bingo!,Mad Angles - Mmmmm Masala,Rs.20,,66 g - Pouch,4.1,1799 Ratings
Bingo!,Mad Angles Very Peri Peri - Spicy & Crunchy Corn Based Triangle Chips Pack For Snacks,Rs.40,20% OFF,117 g,4.1,2253 Ratings
